,Type,Site,Impurity,AB,(+1/0)_DFT,train_mean,train_std
734,II-VI,M_A,Ca,CdTe,-0.124868,0.6255954193436212,0.030474582653653024
735,III-V,M_A,Si,GaAs,0.625152,0.5407404428927932,0.04168458228623469
736,IV-IV,M_B,B,GeC,-0.31606,0.8560375985276327,0.06055731461043642
737,II-VI,M_A,Ge,CdTe,0.277453,0.4949295482517341,0.022617227063303328
738,IV-IV,M_A,Au,Ge,-0.232143,-0.06722999439076967,0.061876554920222177
739,II-VI,M_A,Hf,CdTe,1.209929,0.7602529171373031,0.03721866455736528
740,II-VI,M_i_neut,Ni,CdSe,0.799743,0.6592930353434372,0.05001789136091578
741,II-VI,M_A,Pb,CdSe,0.309292,0.6019563227040626,0.04654875304603446
742,IV-IV,M_i_B,Ti,GeSn,0.30094299999999996,0.26788397191775715,0.020864350323153404
743,II-VI,M_A,Li,CdTe,-0.23632899999999998,0.5303232826476304,0.044864572614872346
744,IV-IV,M_i_neut,Cu,Si,0.50894,0.5236657588816623,0.03105866758422116
745,II-VI,M_A,Ag,CdTe,-0.19431700000000002,0.5689804569946997,0.02862137508559571
746,II-VI,M_A,Fe,ZnO,1.0576290000000002,1.0139768651970702,0.04955994487947954
747,II-VI,M_A,Tl,CdSe,0.8160609999999999,0.9261783756506359,0.03756062220219229
748,IV-IV,M_A,Sb,SiSn,0.44612399999999997,-0.20856180844703412,0.044327097257237276
749,IV-IV,M_i_A,Ni,SiSn,-0.10361400000000001,-0.06122716321599775,0.050219150103730174
750,II-VI,M_B,S,CdTe,-0.248279,0.044625083028173994,0.04022464322602726
751,II-VI,M_A,Be,CdTe,-0.29601700000000003,0.25346042615290887,0.04299933280023727
752,II-VI,M_A,Mn,CdTe,-0.188048,0.676232759446507,0.02855472280427532
753,III-V,M_A,Ni,GaP,-0.11544000000000001,0.5005788836500096,0.04445265522130088
754,II-VI,M_B,Se,CdTe,-0.205661,0.1607388764882363,0.03744326284301103
755,II-VI,M_A,Zn,CdTe,-0.224899,0.3641036558656026,0.027640702846242246
756,III-V,M_i_neut,Ni,InAs,0.173811,0.11732107102216363,0.056063952284834934
757,IV-IV,M_i_A,Cu,GeSn,0.039753,0.3200541655653247,0.02794936347150684
758,IV-IV,M_A,Sb,Sn,-0.085979,-0.3931781232116286,0.05030849875100126
759,II-VI,M_A,Hg,CdTe,-0.161618,0.44122043101097186,0.03812266309470905
760,III-V,M_A,Al,InAs,-0.20556999999999997,0.2067493594262242,0.04368639042630671
761,II-VI,M_A,Mg,CdTe,-0.196521,0.4858958946924318,0.040697518869099385
762,IV-IV,M_B,Ge,GeSn,-0.08755700000000001,-0.24295632526482977,0.0486329410085704
763,III-V,M_B,As,InSb,-0.180776,-0.06209119969060023,0.048000801757781625
764,II-VI,M_B,Se,CdS,-0.152193,0.7419336569988646,0.05605500168937462
765,III-V,M_B,Ge,BSb,-0.553346,0.1377755558725962,0.05257030340120524
766,IV-IV,M_i_neut,Ni,SiGe,-0.066522,0.11673462893756836,0.040973846427176816
767,IV-IV,M_A,Cu,GeSn,-0.245101,-0.21558835037706253,0.04960620504712645
768,II-VI,M_i_A,Cr,ZnTe,1.588458,1.364527773364201,0.02348622292222515
769,III-V,M_A,Al,GaSb,-0.167142,0.32953196906829907,0.04072523762488729
770,II-VI,M_A,Cd,CdTe,-0.173128,0.45135858735313017,0.029042491439528282
771,II-VI,M_B,Te,CdTe,-0.170699,0.3194526025346834,0.037901943428664514
772,III-V,M_A,Al,AlSb,-0.153066,0.44476296725884845,0.06014227274811131
773,IV-IV,M_A,Ge,Si,-0.169163,-0.21992329429026763,0.05541570887030297
774,II-VI,M_B,Se,ZnTe,-0.21994499999999997,0.04894428446432002,0.04220081815787598
775,II-VI,M_A,Cu,CdSe,-0.168903,0.4606796295570156,0.03619141503753667
776,III-V,M_A,Fe,AlSb,-0.093947,0.2424906657030533,0.06017802653688216
777,IV-IV,M_A,Mn,Sn,-0.338893,-0.46757810073995837,0.0619562674824018
778,IV-IV,M_A,V,SiC,0.9732879999999999,0.5734396397100505,0.06970259048308515
779,III-V,M_A,Ti,AlAs,0.6976939999999999,0.6492938005130023,0.05090693209591854
780,II-VI,M_A,Cu,ZnTe,-0.175067,0.46984931708168665,0.05798631526399149
781,IV-IV,M_i_A,N,Ge,-0.192664,-0.40169747851713805,0.04335743703703425
782,IV-IV,M_B,V,GeSn,-0.290014,-0.3664573517580487,0.04014085405917632
783,III-V,M_B,N,BAs,-0.45466000000000006,-0.012167674320863617,0.06850422100463137
784,IV-IV,M_A,Cr,GeC,-0.202941,0.4918372488020505,0.07276942827903762
785,IV-IV,M_A,Cr,Sn,-0.334248,-0.5156391200561657,0.056052175156489956
786,IV-IV,M_B,N,GeSn,-0.209155,-0.885851233452739,0.04921290255193396
787,IV-IV,M_i_A,N,Sn,-0.252092,-0.4619634206314929,0.04589005784485185
788,II-VI,M_i_neut,Hf,ZnO,2.45,2.074168237671768,0.039261906528251234
789,II-VI,M_i_neut,Nb,ZnO,2.09,1.7687825966620898,0.04210528937049437
790,II-VI,M_B,Sr,ZnS,2.66,2.5769070170371178,0.055591215247876545
791,II-VI,M_B,Sc,CdO,1.31,1.2394613775016,0.08164963038415168
792,II-VI,M_i_A,Zn,ZnO,1.72,1.506132868275381,0.035937373864818406
793,II-VI,M_i_B,Zn,ZnO,1.7,1.50931751613804,0.04259844288900746
794,II-VI,M_i_neut,Zn,ZnO,1.46,1.5029550323380936,0.04214047559614
795,II-VI,M_i_B,O,ZnO,-0.46,0.1916085967540384,0.04536336534106315
796,II-VI,M_i_neut,O,ZnO,-0.08,0.20100681513066143,0.04219123489622124
797,II-VI,M_A,S,ZnS,0.62,0.9002504479553085,0.06872596075336251
798,II-VI,M_B,Zn,ZnS,1.68,1.6877417369308354,0.048234954845610564
799,II-VI,M_i_B,Zn,ZnS,2.03,1.8413002224515445,0.040421851251862484
800,II-VI,M_i_neut,Zn,ZnS,1.93,1.8465285370413285,0.03529839988149006
801,II-VI,M_i_A,S,ZnS,0.64,1.1458723846460563,0.039746579373172754
802,II-VI,M_i_B,S,ZnS,0.35,1.145094368506046,0.03935763839101935
803,II-VI,M_i_neut,S,ZnS,0.83,1.1486072621533456,0.04482603873868338
804,II-VI,M_A,Se,ZnSe,0.99,0.6198838127503855,0.04801975003671398
805,II-VI,M_B,Zn,ZnSe,1.28,1.3827714713453272,0.04422101651312903
806,II-VI,M_i_A,Zn,ZnSe,1.25,1.4255582982018447,0.024750467933124767
807,II-VI,M_i_B,Zn,ZnSe,1.62,1.4237263005276026,0.024007565943562972
808,II-VI,M_i_neut,Zn,ZnSe,1.53,1.4244979731357053,0.022805311973315052
809,II-VI,M_i_A,Se,ZnSe,0.67,0.8963093165442284,0.022039136047924464
