Type,AB,Site,M,âˆ†H (A-rich),std_1,âˆ†H (B-rich),std_2,(+3/+2),std_3,(+2/+1),std_4,(+1/0),std_5,(0/-1),std_6,(-1/-2),std_7,(-2/-3),std_8
III-V,BP,M_i_A,Mn,6.456225172,0.352467078,6.115670731,0.21605634,-1.125281496,0.057330511,-0.036773517,0.032093146,0.880877981,0.055426502,1.673402564,0.073730305,2.21483853,0.045210624,2.699823928,0.044937164
III-V,BP,M_i_A,Fe,6.601185597,0.236560474,6.344732,0.292749379,-0.98048635,0.030732464,-0.050274273,0.024555156,0.83751901,0.034054533,1.597831782,0.070106666,2.182231496,0.056461685,2.702698166,0.036890012
III-V,BP,M_i_A,Co,6.947410813,0.378877702,6.630650341,0.416277319,-1.045191033,0.025035019,-0.096781334,0.029503883,0.811106275,0.034614925,1.592330404,0.069437338,2.210098618,0.049451001,2.758967815,0.038876479
III-V,BP,M_i_A,Ni,6.457130996,0.262039559,6.103758444,0.418979328,-1.099412775,0.020921308,-0.142185771,0.033615498,0.882121039,0.051731003,1.63801982,0.067914828,2.183181895,0.054483235,2.797199862,0.042768954
III-V,BP,M_i_A,Cu,6.307951693,0.320776484,5.589747316,0.469259752,-1.08721387,0.027715909,-0.402438602,0.042961391,1.189402765,0.033778828,1.719059718,0.07026872,2.260785776,0.049658096,2.818047582,0.042811911
III-V,BP,M_i_A,Zn,7.902426813,0.136785543,7.469235464,0.151031463,-1.009511934,0.067543765,0.244580317,0.008812877,1.013045897,0.040840133,1.866309029,0.084545876,2.465566707,0.046639214,2.782473956,0.022517999
III-V,BP,M_i_A,Y,8.404326366,0.179184073,9.430800925,0.320539355,-0.275444505,0.042316233,0.562927392,0.022603872,1.210255638,0.055405319,1.968037754,0.118234863,2.169591173,0.058194705,2.700237073,0.053106
III-V,BP,M_i_A,Zr,7.187928558,0.116585705,8.056375089,0.269506387,-0.277255104,0.037189508,0.434573038,0.027618065,1.11668215,0.041444222,1.846278656,0.126217257,2.119912848,0.032717799,2.717102307,0.034188096
III-V,BP,M_i_A,Nb,7.405986737,0.202084735,8.101455076,0.092094792,-0.565469452,0.041082559,0.228405487,0.040072146,0.954617343,0.042553615,1.715243845,0.111535683,2.167385246,0.038030001,2.707483219,0.042249643
III-V,BP,M_i_A,Mo,7.322701622,0.17766475,8.111133172,0.180051793,-0.658640234,0.052272115,-0.1872589,0.070882761,0.610990182,0.038312402,1.536526859,0.109753095,2.047366569,0.048920507,2.639792863,0.04006914
III-V,BP,M_i_A,Tc,7.887100194,0.172170277,7.846270207,0.120610398,-0.753976085,0.023218526,-0.040494016,0.078097854,0.7088594,0.035269452,1.538374782,0.092978415,1.950820438,0.038061452,2.649817239,0.048828908
III-V,BP,M_i_A,Ru,7.184588984,0.131290775,7.56603845,0.277341735,-0.892452993,0.025980108,-0.139595114,0.061151157,0.722393144,0.033148509,1.51537292,0.107758286,2.015775528,0.020583335,2.736534365,0.033967865
III-V,BP,M_i_A,Rh,7.138591313,0.114455031,7.244042785,0.337342403,-1.00904641,0.02039414,-0.32198877,0.04391795,0.705693897,0.046615605,1.507697244,0.092803043,2.017883794,0.030395584,2.738189104,0.032962458
III-V,BP,M_i_A,Pd,7.329798728,0.244861094,7.478935949,0.252140478,-1.108528208,0.028820245,-0.157990002,0.029470665,0.810204552,0.047221303,1.641741317,0.095310945,2.131604922,0.042101247,2.746359751,0.022950043
III-V,BP,M_i_A,Ag,7.466831732,0.241422183,7.387965375,0.330575013,-1.062327073,0.013911312,-0.408205584,0.044318343,1.255046759,0.022484483,1.818195817,0.051519216,2.389338232,0.019737752,2.870331881,0.028657041
III-V,BP,M_i_A,Cd,8.769262518,0.155804287,8.604950752,0.078233612,-0.906758404,0.04399461,0.307467583,0.01892065,1.122380127,0.044357642,1.872928316,0.089277647,2.428736615,0.030846407,2.806790408,0.011100703
III-V,BP,M_i_A,La,8.40587225,0.209826633,9.770391288,0.287401263,-0.295104262,0.015488114,0.538084515,0.024826574,1.252105596,0.077162833,2.047964877,0.116722319,2.313092763,0.083955322,2.790844776,0.067516359
