Type,AB,Site,Impurity,true val,mean,std
II-VI,CdO,M_i_B,O,0,0.05290358,0.035954637
II-VI,CdO,M_i_B,S,0,0.998784303,0.035881763
II-VI,CdO,M_i_B,Se,0,1.079930013,0.013217828
II-VI,CdO,M_i_B,Te,0,1.205383639,0.020784302
II-VI,CdO,M_i_B,F,0,0.113286087,0.063270187
II-VI,CdO,M_i_B,Cl,0,0.677483481,0.11821982
II-VI,CdO,M_i_B,Br,0,0.784970812,0.094684089
II-VI,CdO,M_i_B,I,0,0.988375328,0.019088855
II-VI,CdO,M_i_B,Sc,0,1.370831488,0.046265085
II-VI,CdO,M_i_B,Ti,0,1.373370797,0.033646287
II-VI,CdO,M_i_B,V,0,1.299420415,0.029578794
II-VI,CdO,M_i_B,Cr,0,1.251367679,0.034015346
II-VI,CdO,M_i_B,Mn,0,1.218118579,0.043285625
II-VI,CdO,M_i_B,Fe,0,1.125393738,0.056522685
II-VI,CdO,M_i_B,Co,0,1.095866619,0.072400172
II-VI,CdO,M_i_B,Ni,0,1.089561802,0.074307611
II-VI,CdO,M_i_B,Cu,0,1.187882042,0.037174688
II-VI,CdO,M_i_B,Zn,0,1.19481831,0.035234426
II-VI,CdO,M_i_B,Y,0,1.378440132,0.044140076
II-VI,CdO,M_i_B,Zr,0,1.40318576,0.036352299
II-VI,CdO,M_i_B,Nb,0,1.356292129,0.040456892
II-VI,CdO,M_i_B,Mo,0,1.260341628,0.012105748
II-VI,CdO,M_i_B,Tc,0,1.228195402,0.03410631
II-VI,CdO,M_i_B,Ru,0,1.150327154,0.017671422
II-VI,CdO,M_i_B,Rh,0,1.08860042,0.052775772
II-VI,CdO,M_i_B,Pd,0,1.052215821,0.060533596
II-VI,CdO,M_i_B,Ag,0,1.23442346,0.01975316
II-VI,CdO,M_i_B,Cd,0,1.17543273,0.018502818
II-VI,CdO,M_i_B,La,0,1.351802741,0.042458959
II-VI,CdO,M_i_B,Hf,0,1.420513202,0.055033654
II-VI,CdO,M_i_B,Ta,0,1.389092532,0.038008932
II-VI,CdO,M_i_B,W,0,1.175353332,0.026412029
II-VI,CdO,M_i_B,Re,0,1.218144119,0.051569315
II-VI,CdO,M_i_B,Os,0,1.156574201,0.014197024
II-VI,CdO,M_i_B,Ir,0,1.112326038,0.043837218
II-VI,CdO,M_i_B,Pt,0,1.140018655,0.079393705
II-VI,CdO,M_i_B,Au,0,1.202429135,0.043383447
II-VI,CdO,M_i_B,Hg,0,1.198161279,0.044663179
II-VI,CdO,M_i_B,Ce,0,1.36215031,0.027631149
II-VI,CdO,M_i_B,Pr,0,1.360525713,0.025601806
II-VI,CdO,M_i_B,Nd,0,1.359431528,0.02496387
II-VI,CdO,M_i_B,Pm,0,1.360768775,0.027663263
II-VI,CdO,M_i_B,Sm,0,1.379294784,0.035526463
II-VI,CdO,M_i_B,Eu,0,1.33724682,0.03735651
II-VI,CdO,M_i_B,Gd,0,1.364972741,0.028060474
II-VI,CdO,M_i_B,Tb,0,1.366243349,0.030107604
II-VI,CdO,M_i_B,Dy,0,1.369447305,0.031596406
II-VI,CdO,M_i_B,Ho,0,1.370253179,0.030347825
II-VI,CdO,M_i_B,Er,0,1.374812665,0.032017314
II-VI,CdO,M_i_B,Tm,0,1.380312353,0.044542395
II-VI,CdO,M_i_B,Yb,0,1.333685854,0.04614132
II-VI,CdO,M_i_B,Lu,0,1.377001617,0.034686139
II-VI,CdO,M_i_neut,Li,0,1.193267302,0.053233717
II-VI,CdO,M_i_neut,Na,0,1.182540201,0.053087158
II-VI,CdO,M_i_neut,K,0,1.139953722,0.062349134
II-VI,CdO,M_i_neut,Rb,0,1.188379578,0.046525486
II-VI,CdO,M_i_neut,Cs,0,1.203522325,0.039309944
II-VI,CdO,M_i_neut,Be,0,1.231472833,0.045209034
II-VI,CdO,M_i_neut,Mg,0,1.25808558,0.06720385
II-VI,CdO,M_i_neut,Ca,0,1.256682093,0.058462001
II-VI,CdO,M_i_neut,Sr,0,1.266704645,0.053083626
II-VI,CdO,M_i_neut,Ba,0,1.272961729,0.049665257
II-VI,CdO,M_i_neut,B,0,1.192383412,0.050427642
II-VI,CdO,M_i_neut,Al,0,1.286739734,0.027772161
II-VI,CdO,M_i_neut,Ga,0,1.369710481,0.029759058
II-VI,CdO,M_i_neut,In,0,1.3519653,0.034896825
II-VI,CdO,M_i_neut,Tl,0,1.25102298,0.062654142
II-VI,CdO,M_i_neut,C,0,1.085704367,0.043539863
II-VI,CdO,M_i_neut,Si,0,1.264421228,0.023179227
II-VI,CdO,M_i_neut,Ge,0,1.284590917,0.030828673
II-VI,CdO,M_i_neut,Sn,0,1.307125938,0.046857292
II-VI,CdO,M_i_neut,Pb,0,1.269317627,0.029134715
II-VI,CdO,M_i_neut,N,0,0.316237461,0.112144782
II-VI,CdO,M_i_neut,P,0,1.167732549,0.019247746
II-VI,CdO,M_i_neut,As,0,1.241951113,0.021513608
II-VI,CdO,M_i_neut,Sb,0,1.277775795,0.032866037
II-VI,CdO,M_i_neut,Bi,0,1.284965833,0.042275875
II-VI,CdO,M_i_neut,O,0,0.051931738,0.037438966
II-VI,CdO,M_i_neut,S,0,0.994225933,0.038636701
II-VI,CdO,M_i_neut,Se,0,1.081403079,0.012905576
II-VI,CdO,M_i_neut,Te,0,1.206512632,0.02072654
II-VI,CdO,M_i_neut,F,0,0.111524718,0.064554945
II-VI,CdO,M_i_neut,Cl,0,0.671413062,0.120198457
II-VI,CdO,M_i_neut,Br,0,0.785983263,0.094649254
II-VI,CdO,M_i_neut,I,0,0.989942263,0.019240379
II-VI,CdO,M_i_neut,Sc,0,1.370831488,0.046265085
II-VI,CdO,M_i_neut,Ti,0,1.373370797,0.033646287
II-VI,CdO,M_i_neut,V,0,1.299420415,0.029578794
II-VI,CdO,M_i_neut,Cr,0,1.251367679,0.034015346
II-VI,CdO,M_i_neut,Mn,0,1.218118579,0.043285625
II-VI,CdO,M_i_neut,Fe,0,1.126653359,0.056259026
II-VI,CdO,M_i_neut,Co,0,1.095965474,0.072388313
II-VI,CdO,M_i_neut,Ni,0,1.090553161,0.073506239
II-VI,CdO,M_i_neut,Cu,0,1.188993349,0.037308759
II-VI,CdO,M_i_neut,Zn,0,1.198677091,0.034472369
II-VI,CdO,M_i_neut,Y,0,1.377378383,0.045277467
II-VI,CdO,M_i_neut,Zr,0,1.4023869,0.037023778
II-VI,CdO,M_i_neut,Nb,0,1.355923519,0.040542085
II-VI,CdO,M_i_neut,Mo,0,1.259829477,0.011653775
II-VI,CdO,M_i_neut,Tc,0,1.227548651,0.034399998
II-VI,CdO,M_i_neut,Ru,0,1.149690558,0.016326478
II-VI,CdO,M_i_neut,Rh,0,1.088493595,0.053758466
II-VI,CdO,M_i_neut,Pd,0,1.052094826,0.059461813
II-VI,CdO,M_i_neut,Ag,0,1.234101469,0.020940721
II-VI,CdO,M_i_neut,Cd,0,1.175938729,0.019912723
II-VI,CdO,M_i_neut,La,0,1.351802741,0.042458959
II-VI,CdO,M_i_neut,Hf,0,1.421001906,0.055168016
II-VI,CdO,M_i_neut,Ta,0,1.389339446,0.037731197
II-VI,CdO,M_i_neut,W,0,1.175353332,0.026412029
II-VI,CdO,M_i_neut,Re,0,1.218094142,0.051602673
II-VI,CdO,M_i_neut,Os,0,1.156574201,0.014197024
II-VI,CdO,M_i_neut,Ir,0,1.112326038,0.043837218
II-VI,CdO,M_i_neut,Pt,0,1.140018655,0.079393705
II-VI,CdO,M_i_neut,Au,0,1.202429135,0.043383447
II-VI,CdO,M_i_neut,Hg,0,1.198111302,0.044674798
II-VI,CdO,M_i_neut,Ce,0,1.36215031,0.027631149
II-VI,CdO,M_i_neut,Pr,0,1.360525713,0.025601806
II-VI,CdO,M_i_neut,Nd,0,1.359431528,0.02496387
II-VI,CdO,M_i_neut,Pm,0,1.360768775,0.027663263
II-VI,CdO,M_i_neut,Sm,0,1.379294784,0.035526463
II-VI,CdO,M_i_neut,Eu,0,1.33724682,0.03735651
II-VI,CdO,M_i_neut,Gd,0,1.364972741,0.028060474
II-VI,CdO,M_i_neut,Tb,0,1.366243349,0.030107604
II-VI,CdO,M_i_neut,Dy,0,1.369447305,0.031596406
II-VI,CdO,M_i_neut,Ho,0,1.370253179,0.030347825
II-VI,CdO,M_i_neut,Er,0,1.374812665,0.032017314
II-VI,CdO,M_i_neut,Tm,0,1.380312353,0.044542395
II-VI,CdO,M_i_neut,Yb,0,1.333685854,0.04614132
II-VI,CdO,M_i_neut,Lu,0,1.378326352,0.033929972
II-VI,CdS,M_A,Li,0,0.481122676,0.07924645
II-VI,CdS,M_A,Na,0,0.51563239,0.094703047
II-VI,CdS,M_A,K,0,0.524788157,0.0978747
II-VI,CdS,M_A,Rb,0,0.575351283,0.090869411
II-VI,CdS,M_A,Cs,0,0.628712414,0.097543933
II-VI,CdS,M_A,Be,0,0.458519892,0.11253603
II-VI,CdS,M_A,Mg,0,0.699436791,0.183546515
II-VI,CdS,M_A,Ca,0,0.714118836,0.153417769
II-VI,CdS,M_A,Sr,0,0.718757604,0.176508497
II-VI,CdS,M_A,Ba,0,0.740275866,0.16320944
II-VI,CdS,M_A,B,0,0.606204294,0.097266601
II-VI,CdS,M_A,Al,0,1.115573675,0.151303672
II-VI,CdS,M_A,Ga,0,1.092809524,0.098955322
II-VI,CdS,M_A,In,0,1.250225094,0.106912195
II-VI,CdS,M_A,Tl,0,1.119145846,0.106475308
II-VI,CdS,M_A,C,0,0.515439176,0.089574351
II-VI,CdS,M_A,Si,0,1.014782232,0.117927235
II-VI,CdS,M_A,Ge,0,1.065776935,0.111623231
II-VI,CdS,M_A,Sn,0,1.164219311,0.117856183
II-VI,CdS,M_A,Pb,0,0.535970777,0.126834852
II-VI,CdS,M_A,N,0,0.413901649,0.029088723
II-VI,CdS,M_A,P,0,1.024004842,0.0945735
II-VI,CdS,M_A,As,0,1.083482144,0.094827314
II-VI,CdS,M_A,Sb,0,1.160672335,0.111029655
II-VI,CdS,M_A,Bi,0,1.230566313,0.096832911
II-VI,CdS,M_A,O,0,0.284984626,0.027642454
II-VI,CdS,M_A,S,0,0.73386126,0.052673244
II-VI,CdS,M_A,Se,0,0.884897461,0.019764963
II-VI,CdS,M_A,Te,0,1.05469652,0.114948582
II-VI,CdS,M_A,F,0,0.243729419,0.075861131
II-VI,CdS,M_A,Cl,0,0.516833921,0.052925078
II-VI,CdS,M_A,Br,0,0.672844219,0.058278994
II-VI,CdS,M_A,I,0,0.944197707,0.093207068
II-VI,CdS,M_A,Sc,0,1.26341533,0.135687499
II-VI,CdS,M_A,Ti,0,1.206911209,0.134364386
II-VI,CdS,M_A,V,0,1.199015045,0.117348453
II-VI,CdS,M_A,Cr,0,1.082894148,0.127897824
II-VI,CdS,M_A,Mn,0,1.168646377,0.112278036
II-VI,CdS,M_A,Fe,0,1.084640456,0.111929043
II-VI,CdS,M_A,Co,0,0.409756522,0.102804415
II-VI,CdS,M_A,Ni,0,0.39829465,0.09172987
II-VI,CdS,M_A,Cu,0,0.336637294,0.064739046
II-VI,CdS,M_A,Zn,0,0.467697107,0.119063267
II-VI,CdS,M_A,Y,0,1.31851143,0.131161693
II-VI,CdS,M_A,Zr,0,1.361652372,0.118663886
II-VI,CdS,M_A,Nb,0,1.201230864,0.115535882
II-VI,CdS,M_A,Mo,0,1.107920292,0.0995619
II-VI,CdS,M_A,Tc,0,1.141240214,0.086105355
II-VI,CdS,M_A,Ru,0,1.034120091,0.116350503
II-VI,CdS,M_A,Rh,0,0.937824725,0.072511855
II-VI,CdS,M_A,Pd,0,0.439339793,0.108878881
II-VI,CdS,M_A,Ag,0,0.700214872,0.05564134
II-VI,CdS,M_A,Cd,0,0.481003929,0.117619455
